,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,58,management,married,tertiary,no,2143,yes,no,unknown,5,5,261,1,-1,0,unknown,no
1,44,technician,single,secondary,no,29,yes,no,unknown,5,5,151,1,-1,0,unknown,no
2,33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,5,76,1,-1,0,unknown,no
3,47,blue-collar,married,unknown,no,1506,yes,no,unknown,5,5,92,1,-1,0,unknown,no
4,33,unknown,single,unknown,no,1,no,no,unknown,5,5,198,1,-1,0,unknown,no
6,28,management,single,tertiary,no,447,yes,yes,unknown,5,5,217,1,-1,0,unknown,no
7,42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,5,380,1,-1,0,unknown,no
8,58,retired,married,primary,no,121,yes,no,unknown,5,5,50,1,-1,0,unknown,no
9,43,technician,single,secondary,no,593,yes,no,unknown,5,5,55,1,-1,0,unknown,no
10,41,admin.,divorced,secondary,no,270,yes,no,unknown,5,5,222,1,-1,0,unknown,no
12,53,technician,married,secondary,no,6,yes,no,unknown,5,5,517,1,-1,0,unknown,no
13,58,technician,married,unknown,no,71,yes,no,unknown,5,5,71,1,-1,0,unknown,no
14,57,services,married,secondary,no,162,yes,no,unknown,5,5,174,1,-1,0,unknown,no
15,51,retired,married,primary,no,229,yes,no,unknown,5,5,353,1,-1,0,unknown,no
16,45,admin.,single,unknown,no,13,yes,no,unknown,5,5,98,1,-1,0,unknown,no
17,57,blue-collar,married,primary,no,52,yes,no,unknown,5,5,38,1,-1,0,unknown,no
18,60,retired,married,primary,no,60,yes,no,unknown,5,5,219,1,-1,0,unknown,no
19,33,services,married,secondary,no,0,yes,no,unknown,5,5,54,1,-1,0,unknown,no
20,28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,5,262,1,-1,0,unknown,no
21,56,management,married,tertiary,no,779,yes,no,unknown,5,5,164,1,-1,0,unknown,no
22,32,blue-collar,single,primary,no,23,yes,yes,unknown,5,5,160,1,-1,0,unknown,no
23,25,services,married,secondary,no,50,yes,no,unknown,5,5,342,1,-1,0,unknown,no
24,40,retired,married,primary,no,0,yes,yes,unknown,5,5,181,1,-1,0,unknown,no
25,44,admin.,married,secondary,no,-372,yes,no,unknown,5,5,172,1,-1,0,unknown,no
26,39,management,single,tertiary,no,255,yes,no,unknown,5,5,296,1,-1,0,unknown,no
27,52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,5,127,1,-1,0,unknown,no
28,46,management,single,secondary,no,-246,yes,no,unknown,5,5,255,2,-1,0,unknown,no
29,36,technician,single,secondary,no,265,yes,yes,unknown,5,5,348,1,-1,0,unknown,no
30,57,technician,married,secondary,no,839,no,yes,unknown,5,5,225,1,-1,0,unknown,no
31,49,management,married,tertiary,no,378,yes,no,unknown,5,5,230,1,-1,0,unknown,no
32,60,admin.,married,secondary,no,39,yes,yes,unknown,5,5,208,1,-1,0,unknown,no
33,59,blue-collar,married,secondary,no,0,yes,no,unknown,5,5,226,1,-1,0,unknown,no
34,51,management,married,tertiary,no,10635,yes,no,unknown,5,5,336,1,-1,0,unknown,no
35,57,technician,divorced,secondary,no,63,yes,no,unknown,5,5,242,1,-1,0,unknown,no
36,25,blue-collar,married,secondary,no,-7,yes,no,unknown,5,5,365,1,-1,0,unknown,no
37,53,technician,married,secondary,no,-3,no,no,unknown,5,5,1666,1,-1,0,unknown,no
38,36,admin.,divorced,secondary,no,506,yes,no,unknown,5,5,577,1,-1,0,unknown,no
39,37,admin.,single,secondary,no,0,yes,no,unknown,5,5,137,1,-1,0,unknown,no
40,44,services,divorced,secondary,no,2586,yes,no,unknown,5,5,160,1,-1,0,unknown,no
41,50,management,married,secondary,no,49,yes,no,unknown,5,5,180,2,-1,0,unknown,no
42,60,blue-collar,married,unknown,no,104,yes,no,unknown,5,5,22,1,-1,0,unknown,no
43,54,retired,married,secondary,no,529,yes,no,unknown,5,5,1492,1,-1,0,unknown,no
44,58,retired,married,unknown,no,96,yes,no,unknown,5,5,616,1,-1,0,unknown,no
45,36,admin.,single,primary,no,-171,yes,no,unknown,5,5,242,1,-1,0,unknown,no
46,58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,5,355,1,-1,0,unknown,no
47,44,technician,married,secondary,no,0,yes,no,unknown,5,5,225,2,-1,0,unknown,no
48,55,technician,divorced,secondary,no,0,no,no,unknown,5,5,160,1,-1,0,unknown,no
49,29,management,single,tertiary,no,0,yes,no,unknown,5,5,363,1,-1,0,unknown,no
50,54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,5,266,1,-1,0,unknown,no
51,48,management,divorced,tertiary,no,-244,yes,no,unknown,5,5,253,1,-1,0,unknown,no
52,32,management,married,tertiary,no,0,yes,no,unknown,5,5,179,1,-1,0,unknown,no
54,24,technician,single,secondary,no,-103,yes,yes,unknown,5,5,145,1,-1,0,unknown,no
55,38,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,5,174,1,-1,0,unknown,no
56,38,management,single,tertiary,no,424,yes,no,unknown,5,5,104,1,-1,0,unknown,no
57,47,blue-collar,married,unknown,no,306,yes,no,unknown,5,5,13,1,-1,0,unknown,no
58,40,blue-collar,single,unknown,no,24,yes,no,unknown,5,5,185,1,-1,0,unknown,no
60,32,admin.,married,tertiary,no,0,yes,no,unknown,5,5,138,1,-1,0,unknown,no
61,53,technician,divorced,secondary,no,989,yes,no,unknown,5,5,812,1,-1,0,unknown,no
62,57,blue-collar,married,primary,no,249,yes,no,unknown,5,5,164,1,-1,0,unknown,no
63,33,services,married,secondary,no,790,yes,no,unknown,5,5,391,1,-1,0,unknown,no
64,49,blue-collar,married,unknown,no,154,yes,no,unknown,5,5,357,1,-1,0,unknown,no
65,51,management,married,tertiary,no,6530,yes,no,unknown,5,5,91,1,-1,0,unknown,no
66,60,retired,married,tertiary,no,100,no,no,unknown,5,5,528,1,-1,0,unknown,no
67,59,management,divorced,tertiary,no,59,yes,no,unknown,5,5,273,1,-1,0,unknown,no
68,55,technician,married,secondary,no,1205,yes,no,unknown,5,5,158,2,-1,0,unknown,no
69,35,blue-collar,single,secondary,no,12223,yes,yes,unknown,5,5,177,1,-1,0,unknown,no
70,57,blue-collar,married,secondary,no,5935,yes,yes,unknown,5,5,258,1,-1,0,unknown,no
71,31,services,married,secondary,no,25,yes,yes,unknown,5,5,172,1,-1,0,unknown,no
72,54,management,married,secondary,no,282,yes,yes,unknown,5,5,154,1,-1,0,unknown,no
73,55,blue-collar,married,primary,no,23,yes,no,unknown,5,5,291,1,-1,0,unknown,no
74,43,technician,married,secondary,no,1937,yes,no,unknown,5,5,181,1,-1,0,unknown,no
75,53,technician,married,secondary,no,384,yes,no,unknown,5,5,176,1,-1,0,unknown,no
76,44,blue-collar,married,secondary,no,582,no,yes,unknown,5,5,211,1,-1,0,unknown,no
77,55,services,divorced,secondary,no,91,no,no,unknown,5,5,349,1,-1,0,unknown,no
78,49,services,divorced,secondary,no,0,yes,yes,unknown,5,5,272,1,-1,0,unknown,no
79,55,services,divorced,secondary,yes,1,yes,no,unknown,5,5,208,1,-1,0,unknown,no
80,45,admin.,single,secondary,no,206,yes,no,unknown,5,5,193,1,-1,0,unknown,no
81,47,services,divorced,secondary,no,164,no,no,unknown,5,5,212,1,-1,0,unknown,no
82,42,technician,single,secondary,no,690,yes,no,unknown,5,5,20,1,-1,0,unknown,no
83,59,admin.,married,secondary,no,2343,yes,no,unknown,5,5,1042,1,-1,0,unknown,yes
84,46,self-employed,married,tertiary,no,137,yes,yes,unknown,5,5,246,1,-1,0,unknown,no
85,51,blue-collar,married,primary,no,173,yes,no,unknown,5,5,529,2,-1,0,unknown,no
86,56,admin.,married,secondary,no,45,no,no,unknown,5,5,1467,1,-1,0,unknown,yes
87,41,technician,married,secondary,no,1270,yes,no,unknown,5,5,1389,1,-1,0,unknown,yes
89,57,retired,married,secondary,no,486,yes,no,unknown,5,5,180,2,-1,0,unknown,no
90,42,management,single,secondary,no,50,no,no,unknown,5,5,48,1,-1,0,unknown,no
91,30,technician,married,secondary,no,152,yes,yes,unknown,5,5,213,2,-1,0,unknown,no
92,60,admin.,married,secondary,no,290,yes,no,unknown,5,5,583,1,-1,0,unknown,no
93,60,blue-collar,married,unknown,no,54,yes,no,unknown,5,5,221,1,-1,0,unknown,no
94,57,entrepreneur,divorced,secondary,no,-37,no,no,unknown,5,5,173,1,-1,0,unknown,no
95,36,management,married,tertiary,no,101,yes,yes,unknown,5,5,426,1,-1,0,unknown,no
98,39,technician,married,secondary,no,0,yes,no,unknown,5,5,203,1,-1,0,unknown,no
99,46,management,married,tertiary,no,229,yes,no,unknown,5,5,197,1,-1,0,unknown,no
101,53,blue-collar,married,primary,no,90,no,no,unknown,5,5,124,1,-1,0,unknown,no
102,52,blue-collar,married,primary,no,128,yes,no,unknown,5,5,229,1,-1,0,unknown,no
103,59,blue-collar,married,primary,no,179,yes,no,unknown,5,5,55,3,-1,0,unknown,no
104,27,technician,single,tertiary,no,0,yes,no,unknown,5,5,400,1,-1,0,unknown,no
